Model,price,Link
"Smart Flairedge Core i3 12th Gen 15.6"" FHD Laptop",47250,https://www.startech.com.bd/smart-flairedge-core-i3-12th-gen-laptop
"Acer Aspire Lite AL15-41 AMD Ryzen 3 5300U 15.6"" FHD Laptop",49500,https://www.startech.com.bd/acer-aspire-lite-al15-41-amd-ryzen-3-5300u-15-6-inch-fhd-laptop
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Star Silver",50000,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-star-silver
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Anchor Grey",50000,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-anchor-grey
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Golden Matt Black",50000,https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-golden-matt-black
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB DDR5 RAM 512GB SSD 15.6"" FHD Laptop",50000,https://www.startech.com.bd/lenovo-ideapad-1-15amn7-amd-ryzen-3-7320u-fhd-laptop
"ASUS Vivobook Go 15 E1504GA Core i3 N305 15.6"" FHD Laptop",49700,https://www.startech.com.bd/asus-vivobook-go-15-e1504ga-laptop
"Lenovo IdeaPad Slim 1 15AMN7 Ryzen 3 7320U 15.6"" FHD Laptop",50500,https://www.startech.com.bd/lenovo-ideapad-slim-1-15amn7-ryzen-3-7320u-fhd-laptop
"Acer Aspire Lite AL15-52 Core i3 12th Gen 15.6"" FHD Laptop",51000,https://www.startech.com.bd/acer-aspire-lite-al15-52-core-i3-12th-gen-laptop
"Acer Aspire 3 A315-59-332B Core i3 12th Gen 15.6"" FHD Laptop",51500,https://www.startech.com.bd/acer-aspire-3-a315-59-332b-core-i3-12th-gen-laptop
"Lenovo IdeaPad SLIM 3i Intel Core i3 12th Gen 15.6"" FHD Laptop",53500,https://www.startech.com.bd/lenovo-ideapad-slim-3i-laptop
"Lenovo IdeaPad 3i 14IAU7 Core i3 12th Gen 14"" FHD Laptop",53500,https://www.startech.com.bd/lenovo-ideapad-3i-14iau7-i3-12th-14-inch-laptop
"HP 250 G9 Core i3 12th Gen 15.6"" HD DDR4 RAM Laptop With 1 Year Warranty",53500,https://www.startech.com.bd/hp-250-g9-core-i3-12th-gen-hd-laptop
"Chuwi CoreBook XPro Core i5 12th Gen 15.6"" FHD Laptop",53800,https://www.startech.com.bd/chuwi-corebook-xpro-core-i5-12th-gen-fhd-laptop
ASUS Vivobook 15 F1504ZA Core i3 15.6-inch FHD Laptop,53800,https://www.startech.com.bd/asus-vivobook-15-f1504za-laptop
"HP 15s-fq5059TU Core i3 12th Gen 15.6"" HD Laptop",54700,https://www.startech.com.bd/hp-15s-fq5059tu-core-i3-12th-gen-laptop
